"Age Group","Rank","Cause Category","Deaths","Crude Rate","Percentage"
"<1","1","Congenital Anomalies","617","131.0","36.8%"
"<1","2","Short Gestation","446","94.7","26.6%"
"<1","3","Unintentional Injury","131","27.8","7.8%"
"<1","4","Maternal Pregnancy Comp.","122","25.9","7.3%"
"<1","5","Placenta  Cord Membranes","84","17.8","5.0%"
"<1","6","Sids","83","17.6","4.9%"
"<1","7","Circulatory System Disease","54","11.5","3.2%"
"<1","8","Bacterial Sepsis","51","10.8","3.0%"
"<1","9","Intrauterine Hypoxia","50","10.6","3.0%"
"<1","10","Respiratory Distress","40","8.5","2.4%"
"	1-4","1","Unintentional Injury","217","11.0","52.3%"
"	1-4","2","Congenital Anomalies","57","2.9","13.7%"
"	1-4","3","Malignant Neoplasms","47","2.4","11.3%"
"	1-4","4","Homicide","33","1.7","8.0%"
"	1-4","5","Septicemia","12","0.6",""
"	1-4","6","Heart Disease","11","0.6",""
"	1-4","6","Influenza & Pneumonia","11","0.6",""
"	1-4","8","Cerebrovascular","10","0.5",""
"	1-4","8","Perinatal Period","10","0.5",""
"	1-4","10","Covid-19","","",""
"	10-14","1","Unintentional Injury","150","5.3","35.6%"
"	10-14","2","Suicide","85","3.0","20.2%"
"	10-14","3","Malignant Neoplasms","75","2.7","17.8%"
"	10-14","4","Homicide","35","1.2","8.3%"
"	10-14","5","Heart Disease","24","0.8","5.7%"
"	10-14","6","Congenital Anomalies","20","0.7",""
"	10-14","7","Covid-19","","",""
"	10-14","7","Chronic Low. Respiratory Disease","","",""
"	10-14","9","Cerebrovascular","","",""
"	10-14","10","Influenza & Pneumonia","","",""
"	15-19","1","Unintentional Injury","913","31.6","49.5%"
"	15-19","2","Suicide","403","14.0","21.8%"
"	15-19","3","Homicide","324","11.2","17.6%"
"	15-19","4","Malignant Neoplasms","88","3.1","4.8%"
"	15-19","5","Congenital Anomalies","31","1.1","1.7%"
"	15-19","6","Heart Disease","30","1.0","1.6%"
"	15-19","7","Covid-19","28","1.0","1.5%"
"	15-19","8","Diabetes Mellitus","11","0.4",""
"	15-19","9","Cerebrovascular","","",""
"	15-19","9","Influenza & Pneumonia","","",""
"	20-24","1","Unintentional Injury","1,849","62.4","56.6%"
"	20-24","2","Suicide","682","23.0","20.9%"
"	20-24","3","Homicide","381","12.8","11.7%"
"	20-24","4","Malignant Neoplasms","114","3.8","3.5%"
"	20-24","5","Covid-19","77","2.6","2.4%"
"	20-24","6","Heart Disease","54","1.8","1.7%"
"	20-24","7","Congenital Anomalies","30","1.0","0.9%"
"	20-24","8","Complicated Pregnancy","21","0.7","0.6%"
"	20-24","8","Diabetes Mellitus","21","0.7","0.6%"
"	20-24","10","Cerebrovascular","18","0.6",""
"	20-24","10","Chronic Low. Respiratory Disease","18","0.6",""
"	25-34","1","Unintentional Injury","4,965","82.5","52.7%"
"	25-34","2","Suicide","1,571","26.1","16.7%"
"	25-34","3","Homicide","807","13.4","8.6%"
"	25-34","4","Malignant Neoplasms","481","8.0","5.1%"
"	25-34","5","Liver Disease","470","7.8","5.0%"
"	25-34","6","Covid-19","417","6.9","4.4%"
"	25-34","7","Heart Disease","390","6.5","4.1%"
"	25-34","8","Diabetes Mellitus","149","2.5","1.6%"
"	25-34","9","Complicated Pregnancy","89","1.5","0.9%"
"	25-34","10","Influenza & Pneumonia","84","1.4","0.9%"
"	35-44","1","Unintentional Injury","4,740","86.8","39.8%"
"	35-44","2","Malignant Neoplasms","1,389","25.4","11.7%"
"	35-44","3","Suicide","1,310","24.0","11.0%"
"	35-44","4","Heart Disease","1,194","21.9","10.0%"
"	35-44","5","Liver Disease","994","18.2","8.3%"
"	35-44","6","Covid-19","889","16.3","7.5%"
"	35-44","7","Homicide","617","11.3","5.2%"
"	35-44","8","Diabetes Mellitus","410","7.5","3.4%"
"	35-44","9","Cerebrovascular","209","3.8","1.8%"
"	35-44","10","Influenza & Pneumonia","164","3.0","1.4%"
"	45-54","1","Unintentional Injury","4,173","81.7","22.1%"
