#  Arizona Average Temperature
# Units: Degrees Fahrenheit
Date,Value
189501,40.4
189502,43.5
189503,50
189504,58.3
189505,65.8
189506,71.6
189507,78.3
189508,77.8
189509,71.5
189510,61.2
189511,46
189512,37.5
189601,44.6
189602,45.3
189603,51.3
189604,55.2
189605,65.8
189606,77.9
189607,78.5
189608,77.3
189609,71.5
189610,60.8
189611,48.3
189612,43.3
189701,41.2
189702,41.8
189703,45.1
189704,57.4
189705,68.1
189706,72.7
189707,78.8
189708,79
189709,72.2
189710,58.5
189711,50.3
189712,38.4
189801,35.1
189802,46.9
189803,47
189804,61.7
189805,63.6
189806,75.9
189807,81
189808,79.5
189809,73
189810,60.6
189811,48.2
189812,35.7
189901,38
189902,43.2
189903,50.1
189904,58.3
189905,61.4
189906,74.7
189907,80.2
189908,76
189909,75.1
189910,59
189911,51
189912,43
190001,45.5
190002,45.9
190003,55
190004,52.9
190005,67.1
190006,76.1
190007,81
190008,75
190009,68.3
190010,60.6
190011,51.1
190012,42.3
190101,41.5
190102,45.3
190103,48.8
190104,54.8
190105,65.6
190106,72.8
190107,82.4
190108,79.6
190109,71.4
190110,62.1
190111,52.7
190112,42.3
190201,41.9
190202,45.7
190203,46
190204,59.5
190205,65.4
190206,76.8
190207,77.8
190208,78
190209,72.1
190210,62.8
190211,48.9
190212,40.9
190301,41.4
190302,38.1
190303,49.3
190304,56.4
190305,64.3
190306,74.2
190307,79.7
190308,79.6
190309,70.8
190310,60.6
190311,52.2
190312,41.2
190401,37.7
190402,48.6
190403,53
190404,57.7
190405,66
190406,74.6
190407,78.3
190408,77.4
190409,70.9
190410,59.9
190411,50.1
190412,41.6
190501,43.1
190502,44.6
190503,50.7
190504,55.3
190505,61.1
190506,73.1
190507,78.8
190508,79.4
190509,72.7
190510,60
190511,48.8
190512,37.8
190601,39
190602,47.6
190603,49.8
190604,55.7
190605,63.9
190606,73.1
190607,80.2
190608,75.8
190609,70.3
190610,60
190611,48
190612,44.8
190701,42.2
190702,49.7
190703,51
190704,58.5
190705,61.4
190706,69.8
190707,78.9
190708,76.8
190709,71.5
190710,61.3
190711,48.8
190712,43.5
190801,42.9
190802,44.2
190803,51.6
