fecha,temperatura_media
2018-01-01,-5.2
2018-01-02,-0.2
2018-01-03,-1.8
2018-01-04,-0.9
2018-01-05,-1.5
2018-01-06,0.9
2018-01-07,3.3
2018-01-08,3.1
2018-01-09,5.4
2018-01-10,2.5
2018-01-11,3.8
2018-01-12,4.6
2018-01-13,1.7
2018-01-14,-2.5
2018-01-15,-2.7
2018-01-16,-2.6
2018-01-17,-3.1
2018-01-18,-4.9
2018-01-19,-5.5
2018-01-20,-3.3
2018-01-21,-0.1
2018-01-22,1.5
2018-01-23,2.2
2018-01-24,1.1
2018-01-25,-3.6
2018-01-26,0.9
2018-01-27,1.7
2018-01-28,0.8
2018-01-29,-0.3
2018-01-30,-0.4
2018-01-31,-2.1
2018-02-01,-1.6
2018-02-02,3.3
2018-02-03,2.4
2018-02-04,5.4
2018-02-05,-1.9
2018-02-06,-2.6
2018-02-07,0.2
2018-02-08,-2.0
2018-02-09,-2.2
2018-02-10,-2.1
2018-02-11,-2.4
2018-02-12,-4.1
2018-02-13,-2.4
2018-02-14,0.5
2018-02-15,-0.3
2018-02-16,0.4
2018-02-17,-2.1
2018-02-18,0.8
2018-02-19,4.7
2018-02-20,0.5
2018-02-21,2.4
2018-02-22,0.5
2018-02-23,4.9
2018-02-24,3.8
2018-02-25,5.6
2018-02-26,7.1
2018-02-27,7.1
2018-02-28,5.2
2018-03-01,1.5
2018-03-02,-1.2
2018-03-03,-1.1
2018-03-04,-2.2
2018-03-05,-3.4
2018-03-06,-0.1
2018-03-07,-1.8
2018-03-08,-3.0
2018-03-09,-1.5
2018-03-10,-0.6
2018-03-11,0.4
2018-03-12,0.8
2018-03-13,3.2
2018-03-14,5.1
2018-03-15,6.5
2018-03-16,6.5
2018-03-17,6.6
2018-03-18,6.9
2018-03-19,5.2
2018-03-20,4.9
2018-03-21,3.9
2018-03-22,3.8
2018-03-23,2.4
2018-03-24,1.3
2018-03-25,2.4
2018-03-26,4.7
2018-03-27,3.9
2018-03-28,5.5
2018-03-29,4.9
2018-03-30,3.5
2018-03-31,3.1
2018-04-01,2.9
2018-04-02,0.7
2018-04-03,-1.9
2018-04-04,0.8
2018-04-05,0.2
2018-04-06,1.2
2018-04-07,1.8
2018-04-08,2.7
2018-04-09,4.6
2018-04-10,6.2
2018-04-11,7.4
2018-04-12,6.9
2018-04-13,7.6
2018-04-14,6.8
2018-04-15,7.7
2018-04-16,10.0
2018-04-17,9.1
2018-04-18,8.2
2018-04-19,8.7
2018-04-20,7.3
2018-04-21,6.7
2018-04-22,5.7
2018-04-23,6.6
2018-04-24,5.8
2018-04-25,4.5
2018-04-26,3.9
2018-04-27,4.7
2018-04-28,3.8
2018-04-29,4.8
2018-04-30,2.8
2018-05-01,2.1
2018-05-02,1.9
2018-05-03,1.0
2018-05-04,1.8
2018-05-05,2.7
2018-05-06,3.5
2018-05-07,5.1
2018-05-08,7.2
2018-05-09,7.5
2018-05-10,5.4
2018-05-11,7.3
2018-05-12,9.1
2018-05-13,9.4
2018-05-14,5.9
2018-05-15,4.9
2018-05-16,6.2
2018-05-17,6.5
2018-05-18,4.0
2018-05-19,4.0
2018-05-20,5.4
2018-05-21,5.3
2018-05-22,6.5
2018-05-23,7.4
2018-05-24,5.8
2018-05-25,6.7
2018-05-26,8.0
2018-05-27,6.5
2018-05-28,6.8
2018-05-29,9.1
2018-05-30,8.8
2018-05-31,6.3
2018-06-01,6.7
2018-06-02,7.2
2018-06-03,7.4
2018-06-04,8.2
2018-06-05,8.8
2018-06-06,9.5
2018-06-07,9.0
2018-06-08,9.4
2018-06-09,10.4
2018-06-10,9.0
2018-06-11,8.0
2018-06-12,8.2
2018-06-13,8.8
2018-06-14,8.9
2018-06-15,9.3
2018-06-16,6.9
2018-06-17,8.8
2018-06-18,9.1
2018-06-19,6.2
2018-06-20,9.0
2018-06-21,9.0
2018-06-22,8.2
2018-06-23,9.5
2018-06-24,9.0
2018-06-25,7.5
2018-06-26,8.0
2018-06-27,9.9
2018-06-28,10.9
2018-06-29,9.8
2018-06-30,8.6
2018-07-01,9.2
2018-07-02,9.3
2018-07-03,8.4
2018-07-04,9.1
2018-07-05,9.1
2018-07-06,8.8
2018-07-07,8.8
2018-07-08,9.7
2018-07-09,9.1
2018-07-10,9.8
2018-07-11,9.9
2018-07-12,9.8
2018-07-13,10.6
2018-07-14,10.7
2018-07-15,11.9
2018-07-16,11.6
2018-07-17,10.3
2018-07-18,10.1
2018-07-19,11.4
2018-07-20,10.3
2018-07-21,9.6
2018-07-22,8.8
2018-07-23,10.9
2018-07-24,10.4
2018-07-25,10.8
2018-07-26,13.1
2018-07-27,13.2
2018-07-28,12.6
2018-07-29,16.3
2018-07-30,13.8
2018-07-31,11.9
2018-08-01,11.6
2018-08-02,10.3
2018-08-03,10.8
2018-08-04,12.7
2018-08-05,13.4
2018-08-06,12.0
2018-08-07,9.6
2018-08-08,9.2
2018-08-09,9.5
2018-08-10,10.1
2018-08-11,11.1
2018-08-12,11.1
2018-08-13,12.4
2018-08-14,11.3
2018-08-15,11.4
2018-08-16,12.2
2018-08-17,11.6
2018-08-18,10.8
2018-08-19,10.7
2018-08-20,9.4
2018-08-21,9.7
2018-08-22,10.9
2018-08-23,10.3
2018-08-24,9.2
2018-08-25,9.4
2018-08-26,9.5
2018-08-27,8.3
2018-08-28,9.2
2018-08-29,8.3
2018-08-30,8.2
2018-08-31,9.1
2018-09-01,7.7
2018-09-02,8.1
2018-09-03,8.2
2018-09-04,8.5
2018-09-05,9.3
2018-09-06,10.3
2018-09-07,11.2
2018-09-08,10.2
2018-09-09,9.7
2018-09-10,8.8
2018-09-11,8.7
2018-09-12,8.2
2018-09-13,7.0
2018-09-14,6.5
2018-09-15,7.2
2018-09-16,8.5
2018-09-17,7.7
2018-09-18,8.0
2018-09-19,7.6
2018-09-20,4.3
2018-09-21,3.7
2018-09-22,3.0
2018-09-23,3.3
2018-09-24,6.9
2018-09-25,5.5
2018-09-26,5.7
2018-09-27,5.1
2018-09-28,6.7
2018-09-29,5.1
2018-09-30,3.6
2018-10-01,5.6
2018-10-02,5.1
2018-10-03,3.0
2018-10-04,4.4
2018-10-05,1.1
2018-10-06,0.9
2018-10-07,2.6
2018-10-08,2.5
2018-10-09,3.4
2018-10-10,5.0
2018-10-11,9.2
2018-10-12,6.9
2018-10-13,4.9
2018-10-14,5.2
2018-10-15,5.0
2018-10-16,5.9
2018-10-17,4.0
2018-10-18,8.1
2018-10-19,5.7
2018-10-20,6.0
2018-10-21,4.3
2018-10-22,4.2
2018-10-23,4.0
2018-10-24,3.9
2018-10-25,0.6
2018-10-26,0.1
2018-10-27,1.2
2018-10-28,4.9
2018-10-29,1.7
2018-10-30,1.9
2018-10-31,-0.2
2018-11-01,0.2
2018-11-02,1.2
2018-11-03,1.0
2018-11-04,0.2
2018-11-05,-0.8
2018-11-06,5.5
2018-11-07,7.8
2018-11-08,6.0
2018-11-09,7.8
2018-11-10,9.6
2018-11-11,6.9
2018-11-12,4.0
2018-11-13,4.3
2018-11-14,4.3
2018-11-15,3.1
2018-11-16,5.7
2018-11-17,10.6
2018-11-18,9.0
2018-11-19,8.4
2018-11-20,6.5
2018-11-21,5.3
2018-11-22,2.3
2018-11-23,4.1
2018-11-24,1.2
2018-11-25,0.5
2018-11-26,3.9
2018-11-27,2.6
2018-11-28,3.3
2018-11-29,0.6
2018-11-30,1.2
2018-12-01,-0.1
2018-12-02,-3.1
2018-12-03,-5.4
2018-12-04,-1.8
2018-12-05,0.7
2018-12-06,4.8
2018-12-07,3.1
2018-12-08,1.2
2018-12-09,0.2
2018-12-10,3.1
2018-12-11,6.7
2018-12-12,6.0
2018-12-13,6.9
2018-12-14,4.7
2018-12-15,5.4
2018-12-16,4.0
2018-12-17,5.6
2018-12-18,5.8
2018-12-19,6.5
2018-12-20,1.9
2018-12-21,0.1
2018-12-22,-1.3
2018-12-23,2.7
2018-12-24,4.8
2018-12-25,5.9
2018-12-26,5.9
2018-12-27,4.0
2018-12-28,2.2
2018-12-29,1.4
2018-12-30,3.8
2018-12-31,-1.7
2019-01-01,-0.2
2019-01-02,7.7
2019-01-03,8.0
2019-01-04,8.8
2019-01-05,4.0
2019-01-06,3.0
2019-01-07,3.0
2019-01-08,3.7
2019-01-09,7.9
2019-01-10,3.3
2019-01-11,5.7
2019-01-12,1.1
2019-01-13,-1.0
2019-01-14,-0.6
2019-01-15,-0.2
2019-01-16,-4.8
2019-01-17,-0.2
2019-01-18,3.3
2019-01-19,1.4
2019-01-20,-0.1
2019-01-21,-1.7
2019-01-22,-2.6
2019-01-23,-3.8
2019-01-24,-0.9
2019-01-25,-1.1
2019-01-26,-5.0
2019-01-27,-3.5
2019-01-28,-4.3
2019-01-29,-5.9
2019-01-30,-6.3
2019-01-31,-4.7
2019-02-01,-6.7
2019-02-02,-8.0
2019-02-03,-2.9
2019-02-04,-3.1
2019-02-05,2.9
2019-02-06,2.0
2019-02-07,-1.5
2019-02-08,-3.0
2019-02-09,-0.4
2019-02-10,-4.2
2019-02-11,1.4
2019-02-12,2.5
2019-02-13,0.1
2019-02-14,0.3
2019-02-15,-0.5
2019-02-16,-2.3
2019-02-17,1.7
2019-02-18,-1.1
2019-02-19,1.8
2019-02-20,4.5
2019-02-21,6.7
2019-02-22,7.1
2019-02-23,4.8
2019-02-24,4.0
2019-02-25,6.7
2019-02-26,5.6
2019-02-27,5.0
2019-02-28,5.2
2019-03-01,5.3
2019-03-02,2.5
2019-03-03,1.0
2019-03-04,-0.1
2019-03-05,-1.3
2019-03-06,-2.1
2019-03-07,-1.4
2019-03-08,-0.2
2019-03-09,0.8
2019-03-10,-0.8
2019-03-11,1.9
2019-03-12,3.4
2019-03-13,0.4
2019-03-14,1.5
2019-03-15,1.5
2019-03-16,1.7
2019-03-17,1.9
2019-03-18,5.3
2019-03-19,2.0
2019-03-20,-0.8
2019-03-21,0.4
2019-03-22,0.7
2019-03-23,0.3
2019-03-24,0.7
2019-03-25,5.4
2019-03-26,3.8
2019-03-27,2.4
2019-03-28,-1.2
2019-03-29,-0.3
2019-03-30,-1.2
2019-03-31,1.9
2019-04-01,-0.7
2019-04-02,-1.0
2019-04-03,3.3
2019-04-04,3.2
2019-04-05,4.1
2019-04-06,3.3
2019-04-07,3.8
2019-04-08,4.5
2019-04-09,5.5
2019-04-10,6.3
2019-04-11,7.4
2019-04-12,9.5
2019-04-13,8.6
2019-04-14,9.0
2019-04-15,7.8
2019-04-16,7.5
2019-04-17,7.7
2019-04-18,7.7
2019-04-19,7.7
2019-04-20,5.5
2019-04-21,5.8
2019-04-22,5.6
2019-04-23,6.8
2019-04-24,7.5
2019-04-25,10.8
2019-04-26,9.4
2019-04-27,9.2
2019-04-28,8.9
2019-04-29,9.7
2019-04-30,11.3
2019-05-01,9.6
2019-05-02,6.4
2019-05-03,5.0
2019-05-04,6.2
2019-05-05,7.7
2019-05-06,7.8
2019-05-07,6.7
2019-05-08,4.4
2019-05-09,4.8
2019-05-10,2.8
2019-05-11,2.7
2019-05-12,4.4
2019-05-13,8.6
2019-05-14,10.7
2019-05-15,9.6
2019-05-16,10.2
2019-05-17,9.4
2019-05-18,9.1
2019-05-19,8.6
2019-05-20,8.2
2019-05-21,9.5
2019-05-22,10.5
2019-05-23,9.7
2019-05-24,9.0
2019-05-25,9.2
2019-05-26,8.8
2019-05-27,10.0
2019-05-28,6.8
2019-05-29,6.5
2019-05-30,8.1
2019-05-31,8.4
2019-06-01,8.7
2019-06-02,6.5
2019-06-03,7.2
2019-06-04,6.6
2019-06-05,7.9
2019-06-06,9.3
2019-06-07,10.5
2019-06-08,10.9
2019-06-09,10.9
2019-06-10,10.8
2019-06-11,10.9
2019-06-12,10.6
2019-06-13,12.4
2019-06-14,13.6
2019-06-15,12.9
2019-06-16,11.4
2019-06-17,11.6
2019-06-18,8.1
2019-06-19,8.4
2019-06-20,9.5
2019-06-21,9.8
2019-06-22,10.4
2019-06-23,10.7
2019-06-24,11.9
2019-06-25,11.4
2019-06-26,11.2
2019-06-27,12.8
2019-06-28,11.2
2019-06-29,11.6
2019-06-30,11.1
2019-07-01,9.6
2019-07-02,11.4
2019-07-03,11.1
2019-07-04,10.1
2019-07-05,12.4
2019-07-06,13.2
2019-07-07,13.0
2019-07-08,10.6
2019-07-09,12.6
2019-07-10,12.0
2019-07-11,12.4
