"year","pib_per_capita","variacion_anual"
2024,79480,2.9
2023,77250,3
2022,75030,22.3
2021,61360,13.2
2020,54190,-14.6
2019,63430,-2.9
2018,65330,-0.8
2017,65850,13.7
2016,57900,17.7
2015,49180,16.1
2014,42350,10.1
2013,38460,4
2012,36980,4.5
2011,35390,5.9
2010,33410,12.5
2009,29700,-15.5
2008,35150,-31.8
2007,51520,10.8
2006,46520,0
2005,46530,20.8
2004,38510,8.9
2003,35360,1.5
2002,34840,7
2001,32550,-7.6
2000,35210,14.4
1999,30770,9.6
1998,28070,11.8
1997,25110,11.9
1996,22450,6.6
1995,21060,5.8
1994,19900,0.5
1993,19800,-3.9
1992,20600,-3.3
1991,21300,8.1
1990,19700,-2
1989,20100,-1.5
1988,20400,6.3
1987,19200,17.1
1986,16400,2.5
1985,16000,6.7
1984,15000,15.4
1983,13000,-6.5
1982,13900,3.7
1981,13400,27.6
